policy,seed,violation_rate,cost_hr,pods_mean,pods_spot_mean,p95_median,p95_p90,p95_max,shortfall_rate
hpa,0,0.6166666666666667,8.0,8.0,0.0,0.24595998052221024,0.5703164868974302,17.015,0.05
rl_homogeneous,0,0.6166666666666667,8.3,8.15,0.0,0.2408457890183487,0.5383189730297218,0.751647985689982,0.05
hpa,1,0.5666666666666667,8.0,8.0,0.0,0.22431347945350733,0.4944267380754309,11.39,0.03333333333333333
rl_homogeneous,1,0.55,8.366666666666667,8.2,0.0,0.2217838430270192,0.6763375705182894,60.0,0.06666666666666667
hpa,2,0.6333333333333333,8.0,8.0,0.0,0.24650365131007707,0.6085851898977193,11.39,0.03333333333333333
rl_homogeneous,2,0.6166666666666667,8.433333333333334,8.25,0.0,0.2512073486138233,0.5997545745338361,60.0,0.03333333333333333
hpa,3,0.6,8.0,8.0,0.0,0.22158971544375128,1.3849928530780018,22.64,0.06666666666666667
rl_homogeneous,3,0.5833333333333334,8.5,8.316666666666666,0.0,0.2249702468116379,1.3849928530780018,22.64,0.06666666666666667
hpa,4,0.5,8.0,8.0,0.0,0.19904567069723295,0.7221650279381491,17.015,0.05
rl_homogeneous,4,0.5,8.216666666666667,8.066666666666666,0.0,0.1991746698021557,0.7765794816689552,17.015,0.05
hpa,5,0.4666666666666667,8.0,8.0,0.0,0.17685262332820548,0.6191786817421133,22.64,0.06666666666666667
rl_homogeneous,5,0.4166666666666667,8.666666666666666,8.433333333333334,0.0,0.16821550221379672,0.6191786817421133,60.0,0.06666666666666667
hpa,6,0.6333333333333333,8.0,8.0,0.0,0.2697791782331235,1.5241613826903972,28.265,0.08333333333333333
rl_homogeneous,6,0.6666666666666666,8.45,8.283333333333333,0.0,0.27374891978044424,1.5241613826903972,28.265,0.08333333333333333
hpa,7,0.5,8.0,8.0,0.0,0.200524480037015,0.665071567846908,22.64,0.06666666666666667
rl_homogeneous,7,0.5,8.516666666666667,8.3,0.0,0.19773797915512875,0.3928384850128537,60.0,0.06666666666666667
hpa,8,0.5666666666666667,8.0,8.0,0.0,0.21442129010644317,0.6506768195368493,17.015,0.05
rl_homogeneous,8,0.55,8.3,8.15,0.0,0.21442129010644317,0.6506768195368493,17.015,0.05
hpa,9,0.5166666666666667,8.0,8.0,0.0,0.20307301418692264,1.9769548156834673,28.265,0.08333333333333333
rl_homogeneous,9,0.48333333333333334,8.183333333333334,8.0,0.0,0.1979282642423844,0.6300901457409231,60.0,0.08333333333333333
hpa,10,0.5,8.0,8.0,0.0,0.19523649065335702,0.436008144829296,11.39,0.03333333333333333
rl_homogeneous,10,0.48333333333333334,8.5,8.283333333333333,0.0,0.19561170664403918,0.4115483523769598,11.39,0.03333333333333333
hpa,11,0.6166666666666667,8.0,8.0,0.0,0.22388940371351684,0.43167793808838106,11.39,0.03333333333333333
rl_homogeneous,11,0.6,8.416666666666666,8.316666666666666,0.0,0.22241736468255469,0.42803992630137305,0.7735150782746311,0.03333333333333333
hpa,12,0.5833333333333334,8.0,8.0,0.0,0.2387158527701682,0.5751168460718995,11.39,0.03333333333333333
rl_homogeneous,12,0.55,8.633333333333333,8.4,0.0,0.22956486382056268,0.5736767850418867,60.0,0.03333333333333333
hpa,13,0.6666666666666666,8.0,8.0,0.0,0.27485273724059056,0.6999262260760332,11.39,0.03333333333333333
rl_homogeneous,13,0.7,8.283333333333333,8.116666666666667,0.0,0.27485273724059056,0.7649567413386784,60.0,0.03333333333333333
hpa,14,0.6833333333333333,8.0,8.0,0.0,0.2570988581499184,0.6574557110943365,17.015,0.05
rl_homogeneous,14,0.65,8.316666666666666,8.033333333333333,0.0,0.28642056983201303,45.61500000000001,60.0,0.1
hpa,15,0.65,8.0,8.0,0.0,0.2773974796033145,0.6409437403573088,17.015,0.05
rl_homogeneous,15,0.6333333333333333,8.566666666666666,8.3,0.0,0.26700877402999307,0.652804217872466,60.0,0.05
hpa,16,0.6833333333333333,8.0,8.0,0.0,0.26599087274716415,0.5936388939818722,22.64,0.06666666666666667
rl_homogeneous,16,0.7333333333333333,8.133333333333333,7.866666666666666,0.0,0.2997968674948758,53.91600000000001,60.0,0.15
hpa,17,0.5166666666666667,8.0,8.0,0.0,0.20567798913914154,0.6333679066127473,17.015,0.05
rl_homogeneous,17,0.48333333333333334,8.383333333333333,8.2,0.0,0.18836353579621887,0.49404641053656434,0.9276475546324319,0.05
hpa,18,0.6333333333333333,8.0,8.0,0.0,0.2297473617971948,1.3048310303888684,22.64,0.06666666666666667
rl_homogeneous,18,0.6,8.316666666666666,8.166666666666666,0.0,0.2297473617971948,0.8591889881210631,60.0,0.06666666666666667
hpa,19,0.5166666666666667,8.0,8.0,0.0,0.21188643548839325,0.47588275531623986,11.39,0.03333333333333333
rl_homogeneous,19,0.55,8.533333333333333,8.35,0.0,0.21107527706816356,0.47082957285084726,60.0,0.03333333333333333
hpa,20,0.5333333333333333,8.0,8.0,0.0,0.21087915415186276,0.5491313304114711,17.015,0.05
rl_homogeneous,20,0.5333333333333333,8.2,8.033333333333333,0.0,0.2163526456659707,0.6689835365610585,17.015,0.05
hpa,21,0.6,8.0,8.0,0.0,0.24787118526145033,0.8593190587488323,17.015,0.05
rl_homogeneous,21,0.6166666666666667,8.333333333333334,8.166666666666666,0.0,0.2418823229375487,0.8593190587488323,17.015,0.05
hpa,22,0.5833333333333334,8.0,8.0,0.0,0.27474968686673845,0.7742696342508719,17.015,0.05
rl_homogeneous,22,0.6166666666666667,8.283333333333333,8.05,0.0,0.3242542662570467,18.140000000000043,60.0,0.08333333333333333
hpa,23,0.55,8.0,8.0,0.0,0.21117968782762825,0.9322838905779501,22.64,0.06666666666666667
rl_homogeneous,23,0.5333333333333333,8.666666666666666,8.316666666666666,0.0,0.2131914698550877,16.640000000000022,60.0,0.06666666666666667
hpa,24,0.5666666666666667,8.0,8.0,0.0,0.22234599646388303,1.2589372649422248,28.265,0.08333333333333333
rl_homogeneous,24,0.5833333333333334,8.45,8.266666666666667,0.0,0.2366546453904919,1.2589372649422248,28.265,0.08333333333333333
