pods,pods_ondemand,pods_spot,cpu_util,rps,p95,p99,cost_per_hr,evicted,slo_violation,reward,offered_rps,served_rps,t_s,policy,seed
8.0,2.0,6.0,0.2007678361557197,43.45692344113074,0.28127754075,0.18956995463316662,3.8,False,0.0,-3.8,52.3,43.45692344113074,0.0,rl_homogeneous,0
8.0,2.0,6.0,0.19028302226490296,42.60884409921996,0.19314217210000006,0.19263747110886617,3.8,False,0.0,-3.8,51.4,42.60884409921996,60.0,rl_homogeneous,0
10.0,3.0,7.0,0.1851668132385889,47.263664739663184,0.2267918597,0.19441548072283993,5.1,False,0.0,-5.1,53.0,47.263664739663184,120.0,rl_homogeneous,0
14.0,4.0,10.0,0.15634972046195403,41.98834478043703,0.33262405474999995,0.19554514329004244,7.0,False,0.0,-7.0,51.5,41.98834478043703,180.0,rl_homogeneous,0
14.0,4.0,10.0,0.12844765730682725,40.469014964778026,0.19106358180000008,0.19339355167653716,7.0,False,0.0,-7.0,49.8,40.469014964778026,240.0,rl_homogeneous,0
12.0,4.0,8.0,0.14850575956819764,43.51679026320831,0.14759190545,0.191274819460393,6.4,False,0.0,-6.4,51.7,43.51679026320831,300.0,rl_homogeneous,0
10.0,3.0,7.0,0.16800893787994756,43.950693486865184,0.20533731809999997,0.19038626170872064,5.1,False,0.0,-5.1,53.7,43.950693486865184,360.0,rl_homogeneous,0
10.0,3.0,7.0,0.21171672131814132,44.64606044677446,0.19862660764999954,0.18829528608783602,5.1,False,0.0,-5.1,52.6,44.64606044677446,420.0,rl_homogeneous,0
10.0,3.0,7.0,0.16963869638154055,40.59446377294114,0.15313258899999999,0.19367371546671175,5.1,False,0.0,-5.1,48.5,40.59446377294114,480.0,rl_homogeneous,0
14.0,4.0,10.0,0.1329100621857748,39.15449817016059,0.1552789932,0.19175007835018493,7.0,False,0.0,-7.0,46.9,39.15449817016059,540.0,rl_homogeneous,0
14.0,4.0,10.0,0.1302567137294992,41.812851909289186,0.143241703,0.1975512392921237,7.0,False,0.0,-7.0,48.2,41.812851909289186,600.0,rl_homogeneous,0
12.0,4.0,8.0,0.1401192642666556,43.914183295601084,0.16148887980000004,0.19755309943128063,6.4,False,0.0,-6.4,49.6,43.914183295601084,660.0,rl_homogeneous,0
10.0,3.0,7.0,0.1558252068876313,36.870193944742304,0.14658341100000002,0.19527649847183035,5.1,False,0.0,-5.1,43.7,36.870193944742304,720.0,rl_homogeneous,0
9.0,3.0,6.0,0.17596363666327347,39.64665576166133,0.16742169525,0.19373036807918936,4.8,False,0.0,-4.8,48.5,39.64665576166133,780.0,rl_homogeneous,0
9.0,3.0,6.0,0.16351283071187872,38.557617867956566,0.4640010294,0.1883230825385276,4.8,False,0.0,-4.8,45.8,38.557617867956566,840.0,rl_homogeneous,0
13.0,4.0,9.0,0.134729136767003,37.79779869391987,0.19896356075,0.19110820406125936,6.699999999999999,False,0.0,-6.699999999999999,46.9,37.79779869391987,900.0,rl_homogeneous,0
13.0,4.0,9.0,0.1308974998313489,39.63156960445736,0.1527950466,0.196675875936216,6.699999999999999,False,0.0,-6.699999999999999,47.1,39.63156960445736,960.0,rl_homogeneous,0
11.0,4.0,7.0,0.14386686554787373,41.23260642079357,0.14396481180000004,0.19115190970155402,6.1,False,0.0,-6.1,47.4,41.23260642079357,1020.0,rl_homogeneous,0
9.0,3.0,6.0,0.18763476954058303,42.492762237671116,0.3459899662,0.19345487238852654,4.8,False,0.0,-4.8,49.0,42.492762237671116,1080.0,rl_homogeneous,0
8.0,3.0,5.0,0.19164917042912433,40.71785688739598,0.1830258731999998,0.19197433529646532,4.5,False,0.0,-4.5,50.3,40.71785688739598,1140.0,rl_homogeneous,0
12.0,4.0,8.0,0.1605316332847137,41.93829184918196,0.14725910259999997,0.192718716973664,6.4,False,0.0,-6.4,47.2,41.93829184918196,1200.0,rl_homogeneous,0
12.0,4.0,8.0,0.1498883451822212,43.35377302996906,0.1665188677999999,0.19199389973251266,6.4,False,0.0,-6.4,50.6,43.35377302996906,1260.0,rl_homogeneous,0
10.0,3.0,7.0,0.1489016619248652,38.343603033072036,0.15541842690000002,0.19261318421635262,5.1,False,0.0,-5.1,45.5,38.343603033072036,1320.0,rl_homogeneous,0
8.0,3.0,5.0,0.17823765737487238,40.603153756413846,0.1596761814,0.18770470126169486,4.5,False,0.0,-4.5,47.8,40.603153756413846,1380.0,rl_homogeneous,0
10.0,3.0,7.0,0.1928582396694917,40.823885559891636,0.16690478569999997,0.19221275680373412,5.1,False,0.0,-5.1,48.9,40.823885559891636,1440.0,rl_homogeneous,0
10.0,3.0,7.0,0.15297592380741923,34.8280256375212,0.12499045519999993,0.1919510673924848,5.1,False,0.0,-5.1,46.7,34.8280256375212,1500.0,rl_homogeneous,0
8.0,3.0,5.0,0.17012302908617769,38.24123805938245,0.16149559299999983,0.19029097324598418,4.5,False,0.0,-4.5,44.5,38.24123805938245,1560.0,rl_homogeneous,0
10.0,3.0,7.0,0.16731479785341896,36.214430839196375,0.16444547280000002,0.19159585696500406,5.1,False,0.0,-5.1,43.9,36.214430839196375,1620.0,rl_homogeneous,0
10.0,3.0,7.0,0.15617017474466294,34.05613964323032,0.1510073358,0.1917397498568878,5.1,False,0.0,-5.1,44.8,34.05613964323032,1680.0,rl_homogeneous,0
8.0,3.0,5.0,0.18910889982090898,40.21051410227191,0.18783818075000003,0.19322023935400934,4.5,False,0.0,-4.5,46.2,40.21051410227191,1740.0,rl_homogeneous,0
8.0,2.0,6.0,0.23259636526394098,34.47504106893744,0.3528359440999998,0.19080162051862298,3.8,False,0.0,-3.8,43.1,34.47504106893744,1800.0,rl_homogeneous,0
8.0,2.0,6.0,0.1870545963461145,35.30746883053214,0.13109377279999992,0.19365085367524293,3.8,False,0.0,-3.8,44.8,35.30746883053214,1860.0,rl_homogeneous,0
12.0,4.0,8.0,0.14564497223815961,38.40111633213887,0.1862318149999999,0.18282985261334583,6.4,False,0.0,-6.4,44.7,38.40111633213887,1920.0,rl_homogeneous,0
14.0,4.0,10.0,0.1285224368683707,39.84134738700067,0.11683456939999998,0.18984133143080434,7.0,False,0.0,-7.0,46.2,39.84134738700067,1980.0,rl_homogeneous,0
14.0,4.0,10.0,0.26456274911700506,139.40550539957985,1.5972212740999998,0.17575295437692184,7.0,False,0.0,-7.0,210.7,139.40550539957985,2040.0,rl_homogeneous,0
12.0,4.0,8.0,0.28293592347206586,120.18491139551539,2.0423407924500006,0.1724051191046932,6.4,False,0.0,-6.4,210.8,120.18491139551539,2100.0,rl_homogeneous,0
11.0,4.0,7.0,0.2594357553738711,87.93475590299485,2.40014786335,0.13726636113239976,6.1,False,0.0,-6.1,208.2,87.93475590299485,2160.0,rl_homogeneous,0
10.0,3.0,7.0,0.14211340897153574,36.44307818135687,0.20663270015,0.19119641112817387,5.1,False,0.0,-5.1,43.8,36.44307818135687,2220.0,rl_homogeneous,0
9.0,3.0,6.0,0.15287276135011788,40.55805752894656,0.2887045592,0.1760982575709551,4.8,False,0.0,-4.8,45.8,40.55805752894656,2280.0,rl_homogeneous,0
8.0,2.0,6.0,0.20227871847789475,40.4800732507064,0.158097415,0.19361138138106068,3.8,False,0.0,-3.8,47.3,40.4800732507064,2340.0,rl_homogeneous,0
8.0,2.0,6.0,0.1755335031621329,32.96794980499531,0.1858243765,0.1922434046032278,3.8,False,0.0,-3.8,40.5,32.96794980499531,2400.0,rl_homogeneous,0
10.0,3.0,7.0,0.16671492484371667,42.433173865832856,0.14651757399999998,0.19309527813905655,5.1,False,0.0,-5.1,47.0,42.433173865832856,2460.0,rl_homogeneous,0
12.0,4.0,8.0,0.13922363807778787,40.46180120844005,0.20362691764999996,0.19542046992872486,6.4,False,0.0,-6.4,46.4,40.46180120844005,2520.0,rl_homogeneous,0
11.0,4.0,7.0,0.15185149959015443,38.43556256489155,0.15454532880000002,0.195286547815246,6.1,False,0.0,-6.1,44.9,38.43556256489155,2580.0,rl_homogeneous,0
9.0,2.0,7.0,0.16251313679063448,37.318415236108805,0.14157931119999997,0.19441959841600723,4.1,False,0.0,-4.1,43.5,37.318415236108805,2640.0,rl_homogeneous,0
7.0,2.0,5.0,0.20308934027954104,37.89846816246673,0.14439164199999982,0.18039781091713838,3.5,False,0.0,-3.5,41.9,37.89846816246673,2700.0,rl_homogeneous,0
6.0,2.0,4.0,0.23387990547364382,36.90253851451187,0.4600215301,0.1934790467590563,3.2,False,0.0,-3.2,46.0,36.90253851451187,2760.0,rl_homogeneous,0
10.0,3.0,7.0,0.20920087500040255,40.20596742840103,0.1331881352,0.19174308008051244,5.1,False,0.0,-5.1,47.0,40.20596742840103,2820.0,rl_homogeneous,0
10.0,3.0,7.0,0.17023774061015434,39.13617076050944,0.13408203919999997,0.19393677740177623,5.1,False,0.0,-5.1,46.4,39.13617076050944,2880.0,rl_homogeneous,0
8.0,3.0,5.0,0.17391247002998672,37.50882186464727,0.18579177884999995,0.19241901824821983,4.5,False,0.0,-4.5,45.1,37.50882186464727,2940.0,rl_homogeneous,0
8.0,2.0,6.0,0.19638388891167385,33.63918667529457,0.37109664025,0.19277867346563357,3.8,False,0.0,-3.8,42.6,33.63918667529457,3000.0,rl_homogeneous,0
10.0,3.0,7.0,0.1698698652614483,33.32388714035357,0.16415172254999996,0.19473228121277897,5.1,False,0.0,-5.1,38.7,33.32388714035357,3060.0,rl_homogeneous,0
10.0,3.0,7.0,0.14052164977993914,35.04915404549845,0.367429392,0.18987849317860575,5.1,False,0.0,-5.1,41.4,35.04915404549845,3120.0,rl_homogeneous,0
8.0,3.0,5.0,0.17622317015973132,37.53708328794128,0.20617565810000035,0.18872831056460118,4.5,False,0.0,-4.5,42.8,37.53708328794128,3180.0,rl_homogeneous,0
7.0,2.0,5.0,0.17332321568833406,32.03502021277974,0.34426946599999997,0.1961127014813315,3.5,False,0.0,-3.5,38.0,32.03502021277974,3240.0,rl_homogeneous,0
7.0,2.0,5.0,0.18983757904449897,30.79226244265181,0.23868993279999998,0.19586438725388425,3.5,False,0.0,-3.5,41.8,30.79226244265181,3300.0,rl_homogeneous,0
11.0,3.0,8.0,0.16755886458191713,35.11512198809758,0.11932473569999999,0.1954119879391082,5.4,False,0.0,-5.4,41.7,35.11512198809758,3360.0,rl_homogeneous,0
11.0,3.0,8.0,0.14214651382556343,36.155253475824026,0.1347543852999999,0.19266204052288188,5.4,False,0.0,-5.4,42.2,36.155253475824026,3420.0,rl_homogeneous,0
9.0,3.0,6.0,0.14547002255009225,29.20763556928855,0.152638238,0.19811910223271742,4.8,False,0.0,-4.8,37.5,29.20763556928855,3480.0,rl_homogeneous,0
7.0,2.0,5.0,0.18416773146941576,33.93086716003535,0.14914473379999998,0.19323633341530191,3.5,False,0.0,-3.5,38.6,33.93086716003535,3540.0,rl_homogeneous,0
